normalized_term,source_types,source_storefronts,source_platforms,source_record_counts,source_sweep_status,kickstart_rows,kickstart_current_ranks,kickstart_rank_trends,kickstart_difficulty_scores,kickstart_entry_barrier_scores,kickstart_evidence_window,apple_ads_query_countries,apple_ads_monthly_window,apple_ads_monthly_coverage,apple_ads_monthly_max_popularity_1to100,apple_ads_monthly_max_popularity_1to5,apple_ads_monthly_max_countries,apple_ads_monthly_max_genres,apple_ads_monthly_genres_reportable,apple_ads_monthly_reportable,apple_ads_weekly_window,apple_ads_weekly_coverage,apple_ads_weekly_max_popularity_1to100,apple_ads_weekly_max_popularity_1to5,apple_ads_weekly_max_countries,apple_ads_weekly_max_genres,apple_ads_weekly_genres_reportable,apple_ads_weekly_reportable,intent_fit_evidence,storefront_search_evidence,title_context,proposed_en_us_keyword_pack,proposed_pack_status,final_decision,rationale_caveat,evidence_date,source_artifacts
card details face id,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=compound/high; role=direct,US public supply=45; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"useful benefit or feature language for screenshots, promotional text, or description rather than a primary discovery target. US public supply=45; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
card details vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:30,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=3/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Payment-card credential storage intent; sensitive-field wording,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
card details wallet,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=core_job/high; role=direct,US public supply=48; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=48; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
card holder,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:31,US/iOS=#36,US/iOS=#27->#36 (dropped; 2026-08-01..2026-08-26),US/iOS=4/5,US/iOS=2/5,2026-08-01..2026-08-26,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Card organization/vault intent; strong product fit,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,monitor,retain as a tracked signal without changing the proposed pack; rank or adjacent intent is informative but not a demand measure. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
card holder app,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=broad_category/high; role=broad,US public supply=48; Holder=#44,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,reject,not a fit for current discovery targeting based on the observed intent mix. US public supply=48; Holder=#44. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
card info vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:32,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=4/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Payment-card credential storage intent; sensitive-field wording,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
card manager,US_search_candidate,US,iOS,US_search_candidate=1,not-source-current-pending,null,null,null,null,null,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,US search=broad_category/high; role=broad,US public supply=38; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,reject,not a fit for current discovery targeting based on the observed intent mix. US public supply=38; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.,2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;us/query-matrix.json
card number scanner,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:33,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Payment-card credential storage intent; sensitive-field wording,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,conversion-copy,"valid feature language, but card-scanner evidence is dominated by TCG, business-card, document, or identity-scanner intent. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
card number vault,Kickstart,US,iOS,Kickstart=1,not-source-current-pending,US/iOS:34,US/iOS=unranked,US/iOS=no rank history,US/iOS=4/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,Kickstart US/iOS: Payment-card credential storage intent; sensitive-field wording,null,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json
card organizer,Kickstart;US_search_candidate;IN_CA_AU_search_candidate,US;IN;CA;AU,iOS,Kickstart=1;US_search_candidate=1;IN_CA_AU_search_candidate=3,not-source-current-pending,US/iOS:35,US/iOS=unranked,US/iOS=no rank history,US/iOS=2/5,US/iOS=5/5,null,US;GB;IN;CA;AU;DE;FR,2026-07-01..2026-07-31 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,2026-08-16..2026-08-22 UTC,US=below-reporting-coverage;GB=below-reporting-coverage;IN=below-reporting-coverage;CA=below-reporting-coverage;AU=below-reporting-coverage;DE=below-reporting-coverage;FR=below-reporting-coverage,null,null,null,null,null,null,"AU intent=Relevant mixed, digital-wallet, business-card, loyalty, and TCG spillover; label=Qualified easy;CA intent=Relevant mixed, digital-wallet, business-card, loyalty, and TCG spillover; label=Qualified easy;IN intent=Relevant mixed, digital-wallet, business-card, loyalty, and TCG spillover; label=Qualified easy;Kickstart US/iOS: Card organization/vault intent; strong product fit;US search=broad_category/high; role=broad",AU public supply=181; public_pos=unranked; difficulty=27; barrier=6; Holder=not ranked;CA public supply=191; public_pos=unranked; difficulty=31; barrier=0; Holder=not ranked;IN public supply=186; public_pos=unranked; difficulty=29; barrier=34; Holder=not ranked;US public supply=42; Holder=unranked,Offline Card Vault: Holder,"secure,keychain,biometric,storage,keeper,wallet,credit,debit,membership,loyalty,insurance,organizer",not-in-proposed-pack,keyword-test,"plausible future discovery candidate with product fit, but current evidence is not enough to add it to the full 99-byte pack. US public supply=42; Holder=unranked. Apple Ads monthly/weekly below-reporting-coverage across the queried countries; no popularity value is imputed for missing coverage.",2026-08-26,anglo-india/raw-query-matrix.csv;apple-ads/popularity-by-input.csv;apple-ads/popularity.normalized.json;kickstart/holder_keywords.json;us/query-matrix.json
